"depths","times","stages"
1,0,1
6,60,1
9,120,1
9,180,1
9,240,1
9,300,1
10,360,1
10,420,1
11,480,1
12,540,1
12,600,1
14,660,1
14,720,1
14,780,1
16,840,1
15,900,1
16,960,2
16,1020,2
16,1080,2
16,1140,2
16,1200,2
16,1260,2
16,1320,2
16,1380,2
16,1440,2
16,1500,2
16,1560,2
16,1620,2
16,1680,2
16,1740,2
16,1800,2
16,1860,2
16,1920,3
16,1980,3
16,2040,3
16,2100,3
16,2160,3
16,2220,3
15,2280,3
14,2340,3
14,2400,3
13,2460,3
13,2520,3
12,2580,3
12,2640,3
10,2700,3
9,2760,3
9,2820,3
9,2880,3
9,2940,3
9,3000,3
9,3060,3
9,3120,3
7,3180,3
7,3240,3
3,3300,3
1,3360,3
