"depths","durations","times","stages"
1,3.79620051539193,0,1
2,72.5537994463646,3.79620051539193,1
3,1.17211132310331,76.3499999617565,1
4,18.0779418590617,77.5221112848598,1
5,2.36330264806747,95.6000531439216,1
4,48.5477118530866,97.963355791989,1
5,31.8827984075683,146.511067645076,1
4,6.30834514740855,178.393866052644,1
5,291.506030030553,184.702211200052,1
6,8.1571152561034,476.208241230606,1
7,1.30718030656379,484.365356486709,1
8,2.94939596130519,485.672536793273,1
9,47.3236920915299,488.621932754578,1
10,7.76617136578648,535.945624846108,1
11,15.2285931942364,543.711796211894,1
12,89.8896260741813,558.940389406131,1
11,287.982504507112,648.830015480312,1
11,333.848066481289,936.812519987424,2
12,20.5119179347339,1270.66058646871,2
13,31.6614153448056,1291.17250440345,2
14,111.701670332656,1322.83391974825,2
13,324.576221627158,1434.53559008091,2
13,13.6732768488582,1759.11181170807,3
12,119.908329574803,1772.78508855692,3
11,14.2869950529659,1892.69341813173,3
10,204.020846754858,1906.98041318469,3
9,175.526961285656,2111.00125993955,3
8,127.721020480955,2286.52822122521,3
7,63.7468670585013,2414.24924170616,3
6,91.6536489684763,2477.99610876466,3
5,8.90394549373787,2569.64975773314,3
4,25.7764619957138,2578.55370322688,3
3,11.0171242884826,2604.33016522259,3
2,9.91086363326758,2615.34728951107,3
1,Inf,2625.25815314434,3
