"depths","durations","times","stages"
1,3.92368999982203,0,1
2,14.6570732735827,3.92368999982203,1
3,13.713385469635,18.5807632734047,1
4,3.53940207666407,32.2941487430397,1
5,26.4442845271496,35.8335508197038,1
6,9.26131383694231,62.2778353468533,1
7,2.55575855262578,71.5391491837956,1
8,14.3186800492307,74.0949077364214,1
9,60.8792112821245,88.4135877856521,1
10,14.8490866022184,149.292799067777,1
9,9.73393445834517,164.141885669995,1
10,158.474353575447,173.87582012834,1
11,6.73068547621369,332.350173703787,1
12,50.4723361747771,339.080859180001,1
13,70.6237539276481,389.553195354778,1
14,209.776141246716,460.176949282426,1
14,488.500739592146,669.953090529142,2
13,226.391185432052,1158.45383012129,2
14,251.585293114185,1384.84501555334,2
15,33.4753472743232,1636.43030866752,2
15,4.2170727430921,1669.90565594185,3
14,272.004069116745,1674.12272868494,3
13,47.7062405168545,1946.12679780168,3
12,56.812275688158,1993.83303831854,3
11,16.4353005820885,2050.6453140067,3
10,91.2748254371595,2067.08061458879,3
9,54.1699404612882,2158.35544002595,3
8,51.9272164341446,2212.52538048723,3
7,62.0214189700723,2264.45259692138,3
6,3.79830174148083,2326.47401589145,3
5,93.838480323087,2330.27231763293,3
4,158.248960555189,2424.11079795602,3
3,27.6805318119391,2582.35975851121,3
2,66.1860767155331,2610.04029032315,3
1,Inf,2676.22636703868,3
