"depths","times","stages"
1,0,1
3,30,1
3,60,1
4,90,1
5,120,1
5,150,1
8,180,1
9,210,1
9,240,1
9,270,1
9,300,1
10,330,1
10,360,1
11,390,1
11,420,1
11,450,1
12,480,1
12,510,1
12,540,1
14,570,1
14,600,1
14,630,1
14,660,2
14,690,2
14,720,2
14,750,2
14,780,2
14,810,2
14,840,2
14,870,2
14,900,2
14,930,2
14,960,2
14,990,2
14,1020,2
15,1050,2
15,1080,2
15,1110,2
15,1140,2
15,1170,2
15,1200,2
15,1230,2
15,1260,2
15,1290,2
15,1320,2
15,1350,2
15,1380,2
15,1410,2
14,1440,2
14,1470,2
14,1500,2
14,1530,2
14,1560,2
14,1590,2
14,1620,3
14,1650,3
14,1680,3
14,1710,3
14,1740,3
13,1770,3
13,1800,3
13,1830,3
13,1860,3
13,1890,3
13,1920,3
13,1950,3
13,1980,3
13,2010,3
13,2040,3
13,2070,3
13,2100,3
13,2130,3
13,2160,3
13,2190,3
13,2220,3
13,2250,3
13,2280,3
13,2310,3
13,2340,3
13,2370,3
13,2400,3
12,2430,3
12,2460,3
12,2490,3
12,2520,3
12,2550,3
12,2580,3
12,2610,3
12,2640,3
12,2670,3
12,2700,3
12,2730,3
12,2760,3
12,2790,3
12,2820,3
12,2850,3
12,2880,3
12,2910,3
12,2940,3
10,2970,3
10,3000,3
10,3030,3
10,3060,3
11,3090,3
11,3120,3
10,3150,3
10,3180,3
10,3210,3
10,3240,3
9,3270,3
9,3300,3
9,3330,3
9,3360,3
9,3390,3
9,3420,3
9,3450,3
9,3480,3
9,3510,3
9,3540,3
9,3570,3
9,3600,3
9,3630,3
9,3660,3
9,3690,3
8,3720,3
8,3750,3
8,3780,3
7,3810,3
7,3840,3
6,3870,3
6,3900,3
6,3930,3
6,3960,3
4,3990,3
3,4020,3
2,4050,3
1,4080,3
