"depths","durations","times","stages"
1,12.8498161194076,0,1
2,7.34959058552827,12.8498161194076,1
3,26.2817075662083,20.1994067049359,1
4,16.5613073952864,46.4811142711442,1
5,34.4998538755377,63.0424216664306,1
6,4.66320401720853,97.5422755419683,1
7,50.0197801663823,102.205479559177,1
8,127.818545940817,152.225259725559,1
9,103.473067265588,280.043805666376,1
10,19.6719956989535,383.516872931963,1
11,37.2604348672353,403.188868630917,1
12,0.526380437691046,440.449303498152,1
13,14.6055402127769,440.975683935843,1
12,47.0505896389081,455.58122414862,1
13,27.8689329549198,502.631813787528,1
14,134.960600220243,530.500746742448,1
15,21.4226022741266,665.461346962691,1
15,923.769511015728,686.883949236817,2
16,211.408667167995,1610.65346025255,2
16,851.697346348074,1822.06212742054,3
15,427.060361303219,2673.75947376861,3
14,1780.35604976239,3100.81983507183,3
13,194.656289336328,4881.17588483422,3
12,181.654462546197,5075.83217417055,3
11,54.7401635076712,5257.48663671675,3
10,179.580415533881,5312.22680022442,3
9,12.2415419389217,5491.8072157583,3
8,414.923719218688,5504.04875769722,3
7,29.2505966944418,5918.97247691591,3
6,74.4073351409615,5948.22307361035,3
5,124.865090636274,6022.63040875131,3
4,73.2589297136146,6147.49549938758,3
5,104.268180788105,6220.7544291012,3
4,6.54210016677462,6325.0226098893,3
3,56.8230246055236,6331.56471005608,3
2,78.1440488250137,6388.3877346616,3
1,Inf,6466.53178348662,3
