"depths","times","stages"
1,0,1
2,30,1
2,60,1
3,90,1
4,120,1
5,150,1
6,180,1
6,210,1
6,240,1
7,270,1
7,300,1
6,330,1
6,360,1
6,390,1
6,420,1
6,450,1
7,480,1
7,510,1
8,540,1
10,570,1
10,600,1
10,630,1
11,660,1
11,690,1
11,720,2
11,750,2
11,780,2
11,810,2
11,840,2
11,870,2
11,900,2
12,930,2
12,960,2
12,990,2
12,1020,2
13,1050,2
13,1080,2
13,1110,2
13,1140,2
13,1170,2
13,1200,2
13,1230,2
13,1260,2
13,1290,2
13,1320,2
13,1350,2
14,1380,2
14,1410,2
14,1440,2
14,1470,2
14,1500,2
14,1530,2
14,1560,2
14,1590,2
14,1620,2
14,1650,2
14,1680,3
14,1710,3
14,1740,3
14,1770,3
14,1800,3
13,1830,3
13,1860,3
13,1890,3
13,1920,3
13,1950,3
12,1980,3
12,2010,3
12,2040,3
12,2070,3
11,2100,3
11,2130,3
11,2160,3
11,2190,3
11,2220,3
10,2250,3
10,2280,3
10,2310,3
10,2340,3
10,2370,3
8,2400,3
8,2430,3
8,2460,3
7,2490,3
6,2520,3
6,2550,3
5,2580,3
3,2610,3
2,2640,3
2,2670,3
1,2700,3
