"depths","durations","times","stages"
1,3.95427479098241,0,1
2,14.9480916305742,3.95427479098241,1
3,0.0599480874370784,18.9023664215566,1
4,24.0978767194431,18.9623145089937,1
5,32.7595882106546,43.0601912284368,1
6,60.6370449187209,75.8197794390914,1
7,46.3072657610616,136.456824357812,1
8,31.968231078933,182.764090118874,1
7,10.5810270308413,214.732321197807,1
8,26.4280711324786,225.313348228648,1
9,34.5701025917919,251.741419361127,1
10,29.478216082789,286.311521952919,1
11,11.8309585377574,315.789738035708,1
12,112.081252320312,327.620696573465,1
13,28.2521653606287,439.701948893777,1
13,75.6966577564968,467.954114254406,2
12,197.094711939183,543.650772010902,2
11,546.236373764973,740.745483950086,2
11,6.33859442743255,1286.98185771506,3
12,22.8767826741871,1293.32045214249,3
13,83.5822087704826,1316.19723481668,3
12,40.8133183070458,1399.77944358716,3
11,13.9617431365575,1440.59276189421,3
10,2.38618110158654,1454.55450503076,3
11,14.3552300084734,1456.94068613235,3
10,58.3599674364352,1471.29591614082,3
9,21.0031327306449,1529.65588357726,3
8,49.9972809321439,1550.6590163079,3
7,69.696455414321,1600.65629724005,3
6,23.8585039770137,1670.35275265437,3
5,1.55723485439262,1694.21125663138,3
4,55.7328100204472,1695.76849148578,3
3,44.0723197863447,1751.50130150622,3
2,6.56051901169121,1795.57362129257,3
1,Inf,1802.13414030426,3
