"depths","times","stages"
1,0,1
4,30,1
4,60,1
4,90,1
5,120,1
6,150,1
9,180,1
9,210,1
9,240,1
10,270,1
10,300,1
10,330,1
10,360,1
11,390,1
13,420,1
13,450,2
13,480,2
13,510,2
13,540,2
13,570,2
13,600,2
13,630,2
13,660,2
13,690,2
13,720,2
13,750,2
13,780,2
13,810,2
13,840,2
13,870,2
13,900,2
13,930,2
13,960,2
13,990,2
12,1020,2
12,1050,2
12,1080,2
12,1110,2
12,1140,2
12,1170,2
12,1200,2
12,1230,2
12,1260,2
13,1290,2
13,1320,2
13,1350,2
13,1380,2
13,1410,2
13,1440,2
13,1470,2
14,1500,2
14,1530,2
14,1560,2
14,1590,2
14,1620,2
14,1650,2
14,1680,2
14,1710,3
14,1740,3
14,1770,3
14,1800,3
14,1830,3
14,1860,3
13,1890,3
12,1920,3
12,1950,3
12,1980,3
12,2010,3
12,2040,3
12,2070,3
12,2100,3
11,2130,3
11,2160,3
11,2190,3
11,2220,3
10,2250,3
10,2280,3
10,2310,3
10,2340,3
10,2370,3
9,2400,3
8,2430,3
6,2460,3
6,2490,3
5,2520,3
3,2550,3
1,2580,3
