"depths","times","stages"
1,0,1
5,30,1
6,60,1
8,90,1
8,120,1
8,150,1
9,180,1
10,210,1
11,240,1
11,270,1
12,300,1
13,330,1
14,360,1
15,390,1
15,420,1
15,450,1
15,480,1
15,510,2
15,540,2
15,570,2
15,600,2
16,630,2
16,660,2
16,690,2
16,720,2
16,750,2
16,780,2
16,810,2
16,840,2
16,870,2
15,900,2
15,930,2
15,960,2
15,990,2
15,1020,2
15,1050,2
15,1080,2
15,1110,2
15,1140,2
15,1170,2
15,1200,2
15,1230,2
15,1260,3
15,1290,3
15,1320,3
15,1350,3
15,1380,3
14,1410,3
14,1440,3
15,1470,3
15,1500,3
15,1530,3
14,1560,3
14,1590,3
15,1620,3
15,1650,3
15,1680,3
15,1710,3
16,1740,3
16,1770,3
15,1800,3
15,1830,3
15,1860,3
15,1890,3
15,1920,3
14,1950,3
14,1980,3
14,2010,3
14,2040,3
13,2070,3
12,2100,3
11,2130,3
11,2160,3
11,2190,3
11,2220,3
9,2250,3
9,2280,3
8,2310,3
7,2340,3
7,2370,3
7,2400,3
6,2430,3
6,2460,3
6,2490,3
5,2520,3
4,2550,3
5,2580,3
5,2610,3
4,2640,3
2,2670,3
1,2700,3
