"depths","durations","times","stages"
1,28.7716146160092,0,1
2,23.0371141746514,28.7716146160092,1
3,68.8455653917086,51.8087287906606,1
4,2.53969140648994,120.654294182369,1
5,84.2832852136256,123.193985588859,1
6,1.17479062523202,207.477270802485,1
7,49.8193549602916,208.652061427717,1
8,90.7406686669431,258.471416388008,1
9,69.3743914178274,349.212085054951,1
10,168.490946152146,418.586476472779,1
11,40.7451804184317,587.077422624925,1
12,7.6752313787681,627.822603043357,1
13,31.749160855029,635.497834422125,1
13,490.534195015759,667.246995277154,2
14,129.412131567551,1157.78119029291,2
13,75.9141089389705,1287.19332186046,2
12,139.141498317187,1363.10743079943,2
13,134.13703318338,1502.24892911662,2
13,92.7040285387068,1636.3859623,3
12,95.7082135408027,1729.08999083871,3
11,75.9271729446034,1824.79820437951,3
10,115.631911474725,1900.72537732412,3
9,87.4173017061566,2016.35728879884,3
8,19.9619924932254,2103.774590505,3
7,9.86294459747023,2123.73658299822,3
6,47.4871469760374,2133.59952759569,3
5,133.330757469073,2181.08667457173,3
4,3.8643328061894,2314.4174320408,3
3,45.1725284022123,2318.28176484699,3
2,17.9669522275171,2363.4542932492,3
1,Inf,2381.42124547672,3
