"depths","durations","times","stages"
1,3.16370713576014,0,1
2,13.2378676528098,3.16370713576014,1
3,13.5283639781904,16.4015747885699,1
4,68.2813705473446,29.9299387667603,1
5,33.6348207780444,98.2113093141049,1
6,37.226393138881,131.846130092149,1
7,0.41880536203584,169.07252323103,1
8,1.72799119415382,169.491328593066,1
9,98.1594046573927,171.21931978722,1
10,114.742892094652,269.378724444613,1
11,22.8874331906114,384.121616539265,1
12,10.2271386856834,407.009049729876,1
13,7.44809016076334,417.23618841556,1
13,579.699774760906,424.684278576323,2
12,285.016559649194,1004.38405333723,2
13,196.731909258912,1289.40061298642,2
14,202.112540341338,1486.13252224533,2
14,196.615561188718,1688.24506258667,3
13,18.6193885757482,1884.86062377539,3
12,199.542812536257,1903.48001235114,3
11,142.298439200175,2103.0228248874,3
10,150.199665434246,2245.32126408757,3
9,20.5223523998138,2395.52092952182,3
8,24.4320317870006,2416.04328192163,3
7,4.81788975109021,2440.47531370863,3
6,47.366621834839,2445.29320345972,3
5,30.171400567699,2492.65982529456,3
4,23.5070738497529,2522.83122586226,3
3,3.93161358078942,2546.33829971201,3
2,0.930278755834934,2550.2699132928,3
1,Inf,2551.20019204864,3
