"depths","times","stages"
1,0,1
5,30,1
6,60,1
6,90,1
7,120,1
9,150,1
9,180,1
9,210,1
9,240,1
11,270,1
11,300,1
11,330,1
11,360,1
12,390,1
12,420,1
12,450,1
12,480,1
13,510,1
13,540,1
13,570,1
14,600,1
14,630,1
15,660,1
15,690,1
15,720,1
15,750,1
16,780,1
16,810,1
15,840,1
15,870,1
15,900,1
15,930,1
15,960,1
15,990,1
15,1020,1
15,1050,2
15,1080,2
15,1110,2
15,1140,2
15,1170,2
15,1200,2
15,1230,2
15,1260,2
15,1290,2
15,1320,2
15,1350,2
15,1380,2
15,1410,2
15,1440,2
15,1470,2
16,1500,2
16,1530,2
16,1560,2
16,1590,2
16,1620,2
16,1650,2
16,1680,2
16,1710,2
16,1740,2
16,1770,2
15,1800,2
15,1830,2
15,1860,2
15,1890,2
15,1920,2
15,1950,2
15,1980,2
15,2010,2
15,2040,2
15,2070,2
15,2100,2
15,2130,2
15,2160,2
15,2190,2
15,2220,2
15,2250,2
15,2280,2
15,2310,2
15,2340,2
15,2370,2
15,2400,2
15,2430,2
15,2460,2
15,2490,2
15,2520,2
15,2550,2
15,2580,2
15,2610,2
15,2640,2
15,2670,2
15,2700,2
15,2730,2
15,2760,2
15,2790,2
15,2820,2
15,2850,2
15,2880,2
15,2910,2
15,2940,2
15,2970,2
15,3000,3
14,3030,3
14,3060,3
14,3090,3
14,3120,3
14,3150,3
14,3180,3
14,3210,3
14,3240,3
14,3270,3
14,3300,3
14,3330,3
14,3360,3
14,3390,3
13,3420,3
13,3450,3
13,3480,3
13,3510,3
13,3540,3
13,3570,3
13,3600,3
13,3630,3
13,3660,3
13,3690,3
13,3720,3
13,3750,3
13,3780,3
13,3810,3
13,3840,3
13,3870,3
13,3900,3
13,3930,3
13,3960,3
13,3990,3
13,4020,3
13,4050,3
13,4080,3
13,4110,3
13,4140,3
13,4170,3
13,4200,3
13,4230,3
13,4260,3
13,4290,3
13,4320,3
13,4350,3
13,4380,3
13,4410,3
13,4440,3
13,4470,3
13,4500,3
13,4530,3
13,4560,3
13,4590,3
12,4620,3
12,4650,3
11,4680,3
11,4710,3
11,4740,3
10,4770,3
10,4800,3
10,4830,3
10,4860,3
10,4890,3
10,4920,3
10,4950,3
10,4980,3
10,5010,3
9,5040,3
9,5070,3
9,5100,3
9,5130,3
9,5160,3
9,5190,3
8,5220,3
8,5250,3
8,5280,3
8,5310,3
8,5340,3
8,5370,3
8,5400,3
8,5430,3
8,5460,3
8,5490,3
8,5520,3
8,5550,3
8,5580,3
7,5610,3
7,5640,3
6,5670,3
5,5700,3
4,5730,3
2,5760,3
1,5790,3
