"depths","times","stages"
1,0,1
2,30,1
4,60,1
4,90,1
4,120,1
4,150,1
3,180,1
4,210,1
5,240,1
7,270,1
8,300,1
8,330,1
9,360,1
9,390,1
10,420,1
10,450,1
10,480,1
10,510,1
10,540,1
10,570,1
10,600,1
10,630,1
10,660,1
10,690,1
10,720,1
11,750,1
11,780,1
11,810,1
12,840,1
12,870,1
12,900,1
12,930,1
12,960,1
12,990,1
12,1020,1
12,1050,1
12,1080,2
12,1110,2
12,1140,2
12,1170,2
12,1200,2
12,1230,2
12,1260,2
12,1290,2
12,1320,2
12,1350,2
12,1380,2
12,1410,2
12,1440,2
12,1470,2
13,1500,2
13,1530,2
13,1560,2
13,1590,2
13,1620,2
13,1650,2
13,1680,2
13,1710,2
13,1740,2
13,1770,2
13,1800,2
13,1830,2
13,1860,2
13,1890,2
13,1920,2
13,1950,2
13,1980,2
13,2010,2
13,2040,2
13,2070,2
13,2100,2
13,2130,2
13,2160,2
13,2190,2
13,2220,2
13,2250,2
13,2280,2
13,2310,2
13,2340,2
13,2370,2
13,2400,2
13,2430,2
13,2460,2
13,2490,2
13,2520,2
13,2550,2
13,2580,2
13,2610,2
13,2640,2
13,2670,2
13,2700,2
13,2730,2
13,2760,2
13,2790,2
13,2820,2
13,2850,3
12,2880,3
12,2910,3
12,2940,3
12,2970,3
12,3000,3
12,3030,3
12,3060,3
12,3090,3
12,3120,3
12,3150,3
12,3180,3
12,3210,3
12,3240,3
12,3270,3
12,3300,3
12,3330,3
12,3360,3
12,3390,3
12,3420,3
12,3450,3
12,3480,3
12,3510,3
11,3540,3
11,3570,3
11,3600,3
11,3630,3
10,3660,3
10,3690,3
10,3720,3
10,3750,3
10,3780,3
10,3810,3
10,3840,3
10,3870,3
10,3900,3
10,3930,3
10,3960,3
10,3990,3
10,4020,3
10,4050,3
10,4080,3
10,4110,3
10,4140,3
10,4170,3
10,4200,3
10,4230,3
10,4260,3
10,4290,3
10,4320,3
8,4350,3
8,4380,3
7,4410,3
7,4440,3
6,4470,3
6,4500,3
6,4530,3
6,4560,3
6,4590,3
6,4620,3
6,4650,3
6,4680,3
6,4710,3
6,4740,3
5,4770,3
3,4800,3
2,4830,3
2,4860,3
2,4890,3
2,4920,3
1,4950,3
