"depths","durations","times","stages"
1,38.9949740848731,0,1
2,3.76288168678575,38.9949740848731,1
3,35.6992847354316,42.7578557716588,1
2,55.5572530586199,78.4571405070904,1
3,53.2752570393216,134.01439356571,1
4,70.7470152496999,187.289650605032,1
5,13.9701684204225,258.036665854732,1
6,44.5551448823125,272.006834275154,1
7,33.4413596428721,316.561979157467,1
8,3.09816689535535,350.003338800339,1
9,308.295710940952,353.101505695694,1
10,20.7026512465718,661.397216636646,1
11,22.8486417463786,682.099867883218,1
12,31.5153070826059,704.948509629597,1
13,110.699546890067,736.463816712202,1
14,247.176714485268,847.163363602269,1
14,244.003471385714,1094.34007808754,2
15,1138.97001010079,1338.34354947325,2
15,137.658097026792,2477.31355957404,3
14,168.79055048014,2614.97165660083,3
13,1127.18583161064,2783.76220708097,3
12,49.3882544344146,3910.94803869161,3
11,90.5861170274893,3960.33629312603,3
10,681.915913009884,4050.92241015352,3
9,400.940393734151,4732.8383231634,3
8,40.2455732894368,5133.77871689755,3
7,21.9327728538638,5174.02429018699,3
6,156.995241478812,5195.95706304085,3
5,65.1137921106938,5352.95230451966,3
4,13.9046971660418,5418.06609663036,3
3,24.911939376645,5431.9707937964,3
2,166.095239679275,5456.88273317305,3
1,Inf,5622.97797285232,3
