"depths","times","stages"
1,0,1
4,30,1
4,60,1
4,90,1
6,120,1
6,150,1
7,180,1
8,210,1
9,240,1
9,270,1
8,300,1
8,330,1
9,360,1
9,390,1
9,420,1
10,450,1
10,480,1
10,510,1
10,540,1
10,570,1
10,600,1
11,630,1
12,660,1
13,690,1
13,720,1
13,750,1
13,780,1
13,810,1
13,840,1
13,870,1
13,900,1
14,930,1
14,960,1
14,990,1
14,1020,1
14,1050,2
14,1080,2
14,1110,2
14,1140,2
14,1170,2
14,1200,2
15,1230,2
15,1260,2
15,1290,2
15,1320,2
15,1350,2
15,1380,2
15,1410,2
15,1440,2
15,1470,2
15,1500,2
15,1530,2
15,1560,2
15,1590,2
15,1620,2
15,1650,2
15,1680,2
15,1710,2
15,1740,2
15,1770,2
15,1800,2
15,1830,2
15,1860,2
15,1890,2
15,1920,2
15,1950,2
15,1980,2
15,2010,2
15,2040,2
15,2070,2
15,2100,2
15,2130,2
15,2160,2
15,2190,2
15,2220,2
15,2250,2
15,2280,2
15,2310,2
15,2340,2
15,2370,2
16,2400,2
16,2430,2
16,2460,2
16,2490,2
16,2520,2
16,2550,2
16,2580,2
16,2610,2
16,2640,2
15,2670,2
15,2700,2
15,2730,2
15,2760,2
15,2790,2
15,2820,2
14,2850,3
12,2880,3
12,2910,3
12,2940,3
11,2970,3
11,3000,3
10,3030,3
10,3060,3
10,3090,3
10,3120,3
10,3150,3
10,3180,3
10,3210,3
10,3240,3
10,3270,3
10,3300,3
10,3330,3
10,3360,3
10,3390,3
10,3420,3
10,3450,3
10,3480,3
10,3510,3
10,3540,3
10,3570,3
10,3600,3
10,3630,3
10,3660,3
10,3690,3
10,3720,3
9,3750,3
9,3780,3
9,3810,3
9,3840,3
9,3870,3
9,3900,3
9,3930,3
9,3960,3
9,3990,3
9,4020,3
9,4050,3
9,4080,3
9,4110,3
9,4140,3
9,4170,3
9,4200,3
10,4230,3
10,4260,3
10,4290,3
10,4320,3
10,4350,3
10,4380,3
10,4410,3
10,4440,3
10,4470,3
9,4500,3
9,4530,3
9,4560,3
9,4590,3
9,4620,3
9,4650,3
9,4680,3
8,4710,3
6,4740,3
5,4770,3
4,4800,3
5,4830,3
5,4860,3
5,4890,3
4,4920,3
3,4950,3
1,4969.50077146478,3
