"depths","durations","times","stages"
1,1.85797268466642,0,1
2,30.3415348892653,1.85797268466642,1
3,0.115073447401166,32.1995075739317,1
2,36.4436992713016,32.3145810213329,1
3,95.1786444349738,68.7582802926345,1
4,7.65068307950966,163.936924727608,1
5,61.6703140830668,171.587607807118,1
6,40.2743430986758,233.257921890185,1
7,10.6629651898465,273.532264988861,1
8,18.376736300471,284.195230178707,1
9,17.3301016508903,302.571966479178,1
10,27.3821835598775,319.902068130068,1
11,240.907859847213,347.284251689946,1
12,66.5520498409005,588.192111537159,1
13,180.997033797369,654.74416137806,1
14,126.760673486492,835.741195175429,1
14,724.333676958137,962.501868661921,2
15,749.891514367615,1686.83554562006,2
15,1200.81713615781,2436.72705998767,3
14,464.772378783373,3637.54419614548,3
13,863.552056001371,4102.31657492885,3
12,69.1894517911278,4965.86863093022,3
11,102.696858627478,5035.05808272135,3
10,468.754026631702,5137.75494134883,3
9,475.463188882557,5606.50896798053,3
8,96.127525128969,6081.97215686309,3
7,201.980741521383,6178.09968199206,3
6,160.296299126244,6380.08042351344,3
5,21.7668590012927,6540.37672263968,3
4,15.3757414093525,6562.14358164098,3
3,34.7536353942014,6577.51932305033,3
2,22.4895261772544,6612.27295844453,3
1,Inf,6634.76248462179,3
